# distance [\AA]   occurrence (total=2258)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                            0
1.014286                            0
1.066071                            0
1.117857                            0
1.169643                            0
1.221429                            0
1.273214                            0
1.325000                            0
1.376786                            0
1.428571                            0
1.480357                            0
1.532143                          352
1.583929                           70
1.635714                            0
1.687500                            0
1.739286                            0
1.791071                            0
1.842857                            0
1.894643                            0
1.946429                            0
1.998214                            0
2.050000                            3
2.101786                           12
2.153571                           54
2.205357                           94
2.257143                          123
2.308929                          124
2.360714                           92
2.412500                           93
2.464286                           85
2.516071                           65
2.567857                           47
2.619643                           41
2.671429                           52
2.723214                           57
2.775000                           51
2.826786                           54
2.878571                           41
2.930357                           35
2.982143                           29
3.033929                           41
3.085714                           53
3.137500                           72
3.189286                           71
3.241071                           83
3.292857                           77
3.344643                           86
3.396429                           75
3.448214                           66
3.500000                           60
