# distance [\AA]   occurrence (total=2855)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                            0
1.014286                            0
1.066071                            0
1.117857                            0
1.169643                            0
1.221429                            0
1.273214                            0
1.325000                            0
1.376786                            0
1.428571                            0
1.480357                            0
1.532143                          446
1.583929                           96
1.635714                            0
1.687500                            0
1.739286                            0
1.791071                            0
1.842857                            0
1.894643                            0
1.946429                            0
1.998214                            0
2.050000                            3
2.101786                           13
2.153571                           52
2.205357                          110
2.257143                          126
2.308929                          150
2.360714                          140
2.412500                          115
2.464286                          129
2.516071                          129
2.567857                           96
2.619643                           76
2.671429                           61
2.723214                           57
2.775000                           27
2.826786                           36
2.878571                           35
2.930357                           40
2.982143                           42
3.033929                           65
3.085714                           94
3.137500                           92
3.189286                          122
3.241071                          114
3.292857                          113
3.344643                           93
3.396429                           58
3.448214                           62
3.500000                           63
