# q1 [Angstrom]    q2 [Angstrom]
  -0.4417582179    2.8375027901
  -0.4970503704    2.9309770205
  -0.4797821136    2.9037109827
  -0.4572837605    2.8652728762
  -0.4719002025    2.8938984594
  -0.4412580465    2.8370586520
  -0.2028998779    2.3541431523
  -0.3905210587    2.7415409737
  -0.4761319324    2.8955470791
  -0.4523224987    2.8532844057
  -0.4021501909    2.7648409407
  -0.4924175028    2.9229674284
  -0.4578098066    2.8619503524
   0.0000000000    1.9187996331
   0.0000000000    1.9627217974
  -0.4261497492    2.8028753842
   0.0000000000    1.9564425263
   0.0000000000    1.9357345770
  -0.4993202004    2.9390426116
  -0.5049366195    2.9485835955
  -0.5050085588    2.9487244227
   0.0000000000    1.9192448356
   0.0000000000    1.9671676556
  -0.4010560590    2.7616685543
   0.0000000000    1.9656894033
   0.0000000000    1.9401130223
  -0.4801824158    2.9086299253
  -0.4271929152    2.8048335767
  -0.4983272003    2.9417055991
  -0.4237242631    2.7959999346
  -0.4444244808    2.8397730315
   0.0000000000    1.9277511373
   0.0000000000    1.9513603096
  -0.4391619755    2.8330491464
  -0.4994615559    2.9405538485
  -0.2229157862    2.3955536937
  -0.4814783385    2.9058901639
  -0.4495549393    2.8523170954
  -0.4420600476    2.8396359958
  -0.5025845613    2.9461730414
  -0.4367933923    2.8283772917
  -0.3727103760    2.7186339936
  -0.4650473447    2.8819621810
  -0.2628551036    2.5021587698
  -0.4747794528    2.8980012905
  -0.4741600400    2.8913005349
  -0.1516287652    2.2845475844
  -0.4737926823    2.8909290393
  -0.4494235659    2.8474618246
  -0.2554786261    2.4462000961
  -0.1568845791    2.2721308158
  -0.1542659650    2.2891105250
  -0.3840855012    2.7360898354
  -0.2019939157    2.3769599579
  -0.3813098747    2.7308772606
  -0.5011039761    2.9453863367
  -0.5043420839    2.9435491323
  -0.5019178697    2.9410112101
  -0.2456721732    2.4596235502
  -0.4856802744    2.9132237311
   0.0000000000    1.9397204752
   0.0000000000    1.9390797227
   0.0440817013    1.8660405427
  -0.3768226411    2.6878759199
  -0.4006083003    2.7591593673
  -0.4365822763    2.8259782880
  -0.4671043246    2.8844565441
  -0.4733742326    2.8936021753
  -0.5110705383    2.9602227924
  -0.4618124522    2.8704817904
   0.0000000000    1.9508653557
   0.0000000000    1.9259127874
  -0.3932713978    2.7464518845
  -0.1493137739    2.2517022614
  -0.4001690639    2.7459037993
  -0.4628166174    2.8769371850
   0.0000000000    1.9440468292
  -0.4666289707    2.8829931776
  -0.4578508447    2.8661555457
  -0.4874109841    2.9168465001
  -0.1808392746    2.3073647483
  -0.4529919602    2.8590247730
  -0.4705831979    2.8907300949
  -0.5111943733    2.9613579848
  -0.4407765889    2.8362245400
  -0.4708972509    2.8902751000
  -0.4909751067    2.9230742761
  -0.3184549786    2.5760646690
  -0.3560047379    2.6546235132
  -0.4809010293    2.9068531631
  -0.4742660231    2.8920764681
   0.0000000000    1.9347834668
   0.0000000000    1.9501878863
  -0.4858066251    2.9132053721
  -0.5005902585    2.9369785845
   0.0000000000    1.9720232107
   0.0000000000    1.9178342443
  -0.5005381089    2.9368806700
  -0.4857759762    2.9131525401
  -0.4001603172    2.7444883525
  -0.3916517053    2.7442257870
  -0.4337314023    2.8114057613
  -0.4226649617    2.7970296846
  -0.4916455928    2.9271564453
  -0.4899593719    2.9259921054
  -0.4143104554    2.7895482308
  -0.4483167644    2.8462107556
  -0.4084396701    2.7803843551
  -0.4584540953    2.8606152241
  -0.4355775670    2.8271879481
  -0.4731327790    2.8925217902
  -0.5036918287    2.9476416294
   0.0000000000    1.9173010300
  -0.3754577642    2.7237560622
  -0.4330746338    2.8252102444
  -0.4677756331    2.8837863086
  -0.4677451063    2.8837278214
   0.0000000000    1.9399755783
   0.0000000000    1.9440279160
   0.1000284886    1.7688198471
  -0.5002473675    2.9457476798
  -0.3771106769    2.7269907885
  -0.5066012860    2.9523117902
  -0.4832022007    2.9080839407
  -0.4294744025    2.8185902434
