# distance [\AA]   occurrence (total=2564)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                          651
1.014286                          187
1.066071                            0
1.117857                            0
1.169643                            0
1.221429                            0
1.273214                            0
1.325000                            0
1.376786                            0
1.428571                            0
1.480357                            0
1.532143                            0
1.583929                            0
1.635714                            0
1.687500                            1
1.739286                            6
1.791071                           11
1.842857                           13
1.894643                           38
1.946429                           68
1.998214                           71
2.050000                           67
2.101786                           59
2.153571                           44
2.205357                           28
2.257143                           13
2.308929                           11
2.360714                            6
2.412500                            6
2.464286                            2
2.516071                            0
2.567857                            1
2.619643                            0
2.671429                            0
2.723214                            0
2.775000                            8
2.826786                           11
2.878571                           44
2.930357                           95
2.982143                          102
3.033929                          131
3.085714                           94
3.137500                          128
3.189286                          143
3.241071                          132
3.292857                          101
3.344643                           86
3.396429                           81
3.448214                           64
3.500000                           61
