# q1 [Angstrom]    q2 [Angstrom]
  -0.4857574722    2.9189633269
   0.0000000000    1.9439758408
  -0.4849975392    2.9096175396
  -0.4855275719    2.9185409067
   0.0000000000    1.9439377640
  -0.4861887622    2.9118389160
  -0.4243798632    2.8072671447
  -0.4247478333    2.8078536233
  -0.3200018755    2.6382524362
  -0.1147983009    2.1659458083
  -0.2790252344    2.5023035118
  -0.1585173741    2.2758828315
  -0.5040250741    2.9530344787
  -0.3834832227    2.7274903278
  -0.5066482159    2.9520809646
  -0.1103803807    2.1893023985
  -0.3851287493    2.7368456685
  -0.4609564580    2.8660379525
  -0.4431864971    2.8351313048
  -0.3729358956    2.7038036004
  -0.3729149958    2.7037637881
  -0.5078327454    2.9532400096
  -0.5078652219    2.9533002289
  -0.4325809378    2.8136413350
   0.0000000000    1.9499824741
   0.0000000000    1.9393564477
  -0.4977557258    2.9357244717
  -0.5041215314    2.9436817165
  -0.4991235862    2.9410523438
   0.0000000000    1.9402017923
   0.0000000000    1.9387894881
  -0.4824607514    2.9069955803
  -0.4690765350    2.8839279133
  -0.4427675816    2.8365285606
  -0.4599207503    2.8722355351
  -0.4777578547    2.9031098369
  -0.4723298144    2.8947054148
  -0.4382509289    2.8310353245
  -0.5016598345    2.9389493492
  -0.4794260002    2.9026530041
  -0.4550820660    2.8611821071
  -0.4534146427    2.8604477178
  -0.4289755435    2.8155675224
  -0.4334845844    2.8187421714
  -0.4523815006    2.8565821829
  -0.4215959166    2.7968242279
  -0.2761599001    2.5132813898
  -0.4594396466    2.8636033047
  -0.4531846213    2.8520562628
   0.0000000000    1.9611628268
   0.0000000000    1.9203336353
  -0.4011717858    2.7602047564
  -0.1701643057    2.3012443344
  -0.5115122649    2.9592713344
   0.0000000000    1.9197956028
   0.0000000000    1.9519170823
  -0.5114382544    2.9591365571
  -0.4564895846    2.8603253174
   0.0000000000    1.9369049533
   0.0000000000    1.9436944423
  -0.4907379449    2.9272310876
  -0.1876252238    2.3206368994
  -0.4076349437    2.7702702740
  -0.3821246280    2.7374119681
  -0.4530462471    2.8567108926
  -0.4775324460    2.9006572006
   0.0000000000    1.9526559234
  -0.4753034556    2.8964997972
  -0.4343338686    2.8257988618
  -0.1980019576    2.3436381957
  -0.4013039590    2.7353361624
  -0.2034019638    2.3784627631
  -0.3097189306    2.5675660589
  -0.5064126429    2.9538365776
  -0.4897945204    2.9259754981
  -0.4542728051    2.8594205237
  -0.4856925975    2.9129960401
  -0.4487711361    2.8510869440
  -0.4499767949    2.8539533161
  -0.4374573612    2.8325167983
  -0.4458636302    2.8460666996
  -0.4678689365    2.8835695304
  -0.4794450515    2.9025701759
   0.0000000000    1.9549181085
   0.0000000000    1.9427155969
  -0.4199114862    2.7820224121
  -0.4195759481    2.7813788946
  -0.3056574398    2.5810285176
  -0.4741533660    2.8910332901
  -0.4693843696    2.8794339199
  -0.4365166153    2.8283134464
  -0.3694859909    2.7121912147
  -0.5088443139    2.9611763594
  -0.5117481843    2.9632126769
   0.0000000000    1.9207607174
   0.0000000000    1.9746731809
  -0.4983332875    2.9460546866
  -0.2666967995    2.4840320662
  -0.4785755078    2.8974453337
  -0.4564515514    2.8634365188
  -0.4388513743    2.8316927714
  -0.4938842425    2.9342079788
  -0.4600795014    2.8718030428
  -0.4617661407    2.8725879311
  -0.4554474691    2.8617069258
  -0.4825126421    2.9124428512
  -0.4513977013    2.8587912556
  -0.4630497239    2.8748013394
  -0.4631482994    2.8750032024
   0.0000000000    1.9403884378
  -0.5098369120    2.9625222914
  -0.4137196033    2.7920471109
  -0.5097242522    2.9623259941
   0.0000000000    1.9417539645
   0.0000000000    1.9347878913
  -0.1434026772    2.2337287607
  -0.4913507663    2.9228352272
  -0.4951062314    2.9298463613
  -0.4723526641    2.8889380793
  -0.4645507276    2.8754244253
  -0.4989630857    2.9364761628
  -0.4997938498    2.9332837325
  -0.4566553191    2.8605135348
  -0.4174877201    2.7890274467
  -0.5115981804    2.9652523112
  -0.4092833465    2.7766971034
  -0.4446957983    2.8407763651
  -0.4950925070    2.9264513822
  -0.4060248782    2.7732725689
  -0.2369202027    2.4201042226
  -0.4201147100    2.7908780765
  -0.4430234573    2.8324908062
  -0.2668457002    2.4792591569
  -0.4661532204    2.8770882498
  -0.4260833983    2.8049439631
  -0.5023226976    2.9468698735
   0.0000000000    1.9481073187
  -0.4672372116    2.8847789399
  -0.5002854339    2.9433658006
  -0.4619898540    2.8684397194
   0.0000000000    1.9307321417
   0.0000000000    1.9435526100
  -0.4947705098    2.9347832133
  -0.5059109667    2.9540361500
  -0.4700366540    2.8839328065
  -0.3201718538    2.5959731716
  -0.3586920433    2.6683839694
  -0.4192708865    2.7993427426
  -0.4917460096    2.9292481472
   0.0000000000    1.9355186242
  -0.4412336177    2.8337735526
   0.0000000000    1.9419216099
   0.0000000000    1.9404433523
  -0.4131385069    2.7975830050
  -0.5005506712    2.9434617106
  -0.4740464930    2.8897942917
  -0.4843571416    2.9157177805
   0.0000000000    1.9400131589
  -0.4843259207    2.9156596048
   0.0000000000    1.9400134279
  -0.4843529499    2.9157096266
   0.0000000000    1.9400180451
  -0.4843484454    2.9156996372
  -0.5026849900    2.9471784213
  -0.4258123119    2.8019448749
  -0.3760186918    2.7190948019
  -0.4967801592    2.9403022485
   0.0000000000    1.9392614514
   0.0000000000    1.9430626178
  -0.4304616033    2.8110448174
  -0.4411971035    2.8417691914
  -0.4459336085    2.8342316227
  -0.2200322446    2.3956521483
  -0.4411742249    2.8336182490
   0.0000000000    1.9404161914
   0.0000000000    1.9419163169
  -0.4915778432    2.9289574071
  -0.4838627313    2.9154525595
   0.0000000000    1.9330440207
  -0.4576468818    2.8671659050
  -0.4127872122    2.7871756731
  -0.4441232380    2.8375830510
  -0.4780941718    2.9025505817
  -0.4248728496    2.8010483633
  -0.4614353943    2.8741414989
   0.0000000000    1.9399278489
   0.0000000000    1.9394880484
  -0.4699873903    2.8834955919
  -0.3445840136    2.6361524685
  -0.4953736063    2.9333256136
  -0.4425502300    2.8406558549
  -0.3815969632    2.7357173667
  -0.4500077420    2.8528028774
  -0.4746217031    2.8930331029
  -0.4625363070    2.8691236765
  -0.4934666831    2.9284715595
   0.0000000000    1.9392641361
   0.0000000000    1.9401482539
  -0.4128609460    2.7845986127
  -0.1778706918    2.3222092585
  -0.4789391247    2.9007908306
  -0.5051653156    2.9479236127
  -0.4235058110    2.7850076643
  -0.2360372390    2.4209313915
  -0.1735212841    2.3173756862
  -0.3894320654    2.7437337618
  -0.1353746343    2.2480046164
  -0.4600524586    2.8708847872
  -0.5123466342    2.9673485447
  -0.4708764829    2.8855597226
  -0.4232672522    2.7974344772
  -0.4947946649    2.9349311912
  -0.4775346694    2.8972218296
   0.0000000000    1.9164363355
  -0.3524068073    2.6874732126
  -0.4685695632    2.8870435773
  -0.4043229846    2.7725526028
  -0.1674345840    2.2824722015
  -0.5043215565    2.9512690685
  -0.4967697993    2.9340933879
  -0.3014664060    2.5487983892
  -0.3306294479    2.6142098522
  -0.5059144198    2.9547431082
  -0.5118922384    2.9614079421
  -0.4586614599    2.8860233528
  -0.3005879862    2.5653625019
  -0.4781168706    2.9001861249
  -0.4667323436    2.8798104539
  -0.4700168708    2.8822670548
  -0.4723687622    2.8849308637
  -0.4318761513    2.8123416018
   0.0000000000    1.9474247143
  -0.4908390571    2.9254234102
   0.0000000000    1.9558957038
   0.0000000000    1.9204745326
  -0.4959532891    2.9314232660
  -0.3883090524    2.7456703037
  -0.4598845026    2.8722469246
  -0.4751994025    2.8965739083
  -0.4253779055    2.8034687456
  -0.3850267194    2.7394465813
  -0.4674843375    2.8856472215
   0.0000000000    1.9378368951
  -0.4959299400    2.9371505543
  -0.4764154179    2.8974494910
  -0.4564531390    2.8676584055
  -0.4961817131    2.9365266610
   0.0000000000    1.9358964509
  -0.4780385018    2.8971750558
   0.0000000000    1.9206067660
   0.0000000000    1.9680422069
  -0.4427398810    2.8338763990
   0.0000000000    1.9443729935
   0.0000000000    1.9496256949
  -0.4864132394    2.9250518510
  -0.3707328349    2.6829917250
  -0.4966004507    2.9326906754
  -0.3065223724    2.5563977860
  -0.2548024744    2.4802317673
  -0.4147218017    2.7816943833
  -0.4438602778    2.8388832682
  -0.4667693277    2.8776487592
  -0.4637072246    2.8767481661
  -0.4101546344    2.7811916113
  -0.4256355465    2.8038191127
   0.0000000000    1.9525267278
  -0.5098674616    2.9641899008
  -0.3319000445    2.6314232721
  -0.4746816672    2.8928593088
   0.0000000000    1.9418840842
  -0.4819913943    2.9115120832
  -0.4153398306    2.7732986537
  -0.4714972525    2.8922550277
  -0.4848526285    2.9117963389
  -0.4418534214    2.8375282089
  -0.4209534309    2.8011189454
  -0.3639487017    2.7044612831
  -0.4582471322    2.8637297802
  -0.2482848248    2.4653127020
  -0.4727428844    2.8870107930
  -0.4770466591    2.9027512028
  -0.3564198643    2.6931545700
  -0.4498691223    2.8517040703
  -0.3944268386    2.7526905759
   0.0000000000    1.9456496228
  -0.4762266574    2.8999515368
  -0.2904220420    2.5267601678
  -0.5150330487    2.9698536219
  -0.5117153695    2.9659735458
  -0.4847150456    2.9086389432
  -0.4421518328    2.8358356955
  -0.4884695936    2.9225634683
  -0.5072775963    2.9507230244
  -0.2123689324    2.3691888010
  -0.4645088717    2.8734181172
   0.0000000000    1.9172393978
  -0.3828409077    2.7326801295
  -0.5089578558    2.9590672756
   0.0000000000    1.9556880100
   0.0000000000    1.9199855912
  -0.4431136282    2.8374205087
  -0.5149024502    2.9699696508
  -0.4545182608    2.8574529460
   0.0000000000    1.9435685136
  -0.4891481682    2.9243710266
  -0.4980502641    2.9400885741
  -0.4717734293    2.8892296078
   0.0000000000    1.9312809684
   0.0000000000    1.9460679689
  -0.4905280545    2.9180523164
  -0.4872031924    2.9203142758
  -0.1692055256    2.3140348540
  -0.3139589409    2.5775321331
  -0.4743471613    2.8970939323
  -0.5083393409    2.9584590230
  -0.4733972376    2.8904889944
   0.0000000000    1.9208018148
   0.0000000000    1.9610363034
  -0.5068283951    2.9561590276
  -0.4331007610    2.8145887030
  -0.4996714516    2.9449143115
  -0.4340024295    2.8180772664
