# q1 [Angstrom]    q2 [Angstrom]
  -0.3767811544    2.6875206654
  -0.3213960783    2.5752723218
  -0.3222693301    2.5783022099
  -0.3911780523    2.7166317233
  -0.4246960013    2.8080277071
  -0.4174843582    2.7874083298
   0.0000000000    1.9185352883
  -0.4072345642    2.7678512932
  -0.4175267451    2.7875242750
  -0.4069809142    2.7674320212
  -0.2930426979    2.5110841489
  -0.2933344506    2.5117194684
  -0.2930239748    2.5111840522
  -0.2934598901    2.5120092813
  -0.4848846509    2.9094214141
   0.0000000000    1.9360648872
   0.0000000000    1.9185417827
  -0.4270158183    2.8062369390
  -0.4851251148    2.9040257314
  -0.4794854935    2.8915138408
  -0.4736000040    2.8890031624
  -0.4286412541    2.8075520435
  -0.4777345068    2.8886281957
  -0.4255937460    2.8023834047
  -0.4854672152    2.9115469294
  -0.4068335156    2.7676411004
  -0.4068463548    2.7676548128
  -0.4068275107    2.7676347216
  -0.4068399338    2.7676661680
  -0.4185949218    2.7894841880
  -0.4195222140    2.7906575457
  -0.4077915499    2.7686574636
  -0.4064970666    2.7680721035
