# Angle [degrees]   occurrence (total=164)
0.000000                            0
5.135135                            0
10.270270                            0
15.405405                            0
20.540541                            0
25.675676                            0
30.810811                            0
35.945946                            0
41.081081                            0
46.216216                            0
51.351351                            0
56.486486                            0
61.621622                            0
66.756757                            0
71.891892                            0
77.027027                            3
82.162162                           11
87.297297                           18
92.432432                           25
97.567568                           16
102.702703                            9
107.837838                           14
112.972973                            6
118.108108                            7
123.243243                            1
128.378378                            3
133.513514                            4
138.648649                            3
143.783784                            0
148.918919                            2
154.054054                            3
159.189189                            3
164.324324                            2
169.459459                            3
174.594595                            8
179.729730                           12
184.864865                           11
190.000000                            0
