# q1 [Angstrom]    q2 [Angstrom]
  -0.2145709163    2.5009581231
  -0.2099023519    2.4915036924
  -0.1929385221    2.4790916460
   0.0000000000    1.9254911634
  -0.1547637062    2.4323492441
  -0.1527470609    2.4308930281
   0.0000000000    1.9181781873
   0.0000000000    1.9181801539
  -0.3797103318    2.6838687911
  -0.3929562426    2.7438008813
  -0.0383164161    2.3830781756
  -0.0308158396    2.3826309663
   0.0000000000    1.9210433099
  -0.0308720408    2.3826389204
  -0.1204993033    2.4119492604
  -0.1376247505    2.4196167179
  -0.3024160963    2.6000170707
  -0.1381372420    2.4200257494
  -0.1201678964    2.4117830593
  -0.3026598590    2.6004812270
   0.0000000000    1.9209929033
  -0.0407475300    2.3813067504
  -0.1992484894    2.4682640825
  -0.1990918980    2.4681172094
   0.0000000000    1.9158951516
   0.0000000000    1.9164370822
  -0.1292495890    2.4137476808
  -0.1112287980    2.4041520029
   0.0000000000    1.9192889688
   0.0000000000    1.9189810479
  -0.1366353570    2.4224041759
   0.0000000000    1.9185296868
   0.0000000000    1.9187345006
  -0.1366629581    2.4224240827
   0.0000000000    1.9187332525
   0.0000000000    1.9185287580
  -0.1389062762    2.4227946599
   0.0000000000    1.9161963450
   0.0000000000    1.9171990854
  -0.3194150306    2.6227579405
  -0.2747505369    2.5609028239
  -0.1835801612    2.4552855150
  -0.3157492857    2.6201277937
  -0.1820749061    2.4520687136
  -0.3436289266    2.6629308594
  -0.4518309301    2.8449521889
  -0.1774631461    2.4503622911
  -0.1773928663    2.4503178301
  -0.2185373613    2.4923140849
   0.0000000000    1.9172502770
  -0.2184667250    2.4922425559
   0.0000000000    1.9172497614
  -0.2790168724    2.5660626033
  -0.2343743997    2.5034157365
  -0.2342240477    2.5032218831
  -0.1372256020    2.4189867084
  -0.1919669170    2.4617461200
  -0.2095449478    2.4794584121
  -0.1769296676    2.4478451725
   0.0000000000    1.9158951907
   0.0000000000    1.9164093844
  -0.4634120582    2.8600954550
   0.0000000000    1.9211434290
  -0.2298273787    2.4988349457
  -0.2295833445    2.4985127319
  -0.1575475840    2.4330372319
  -0.3596227779    2.6830190959
  -0.2111121249    2.4783053670
  -0.2104177563    2.4776220476
  -0.2111281219    2.4783133592
  -0.2104331819    2.4776319027
   0.0000000000    1.9152227504
   0.0000000000    1.9157392383
  -0.1616162586    2.4354381110
  -0.3259867340    2.6288484547
  -0.2139577977    2.4868807954
  -0.1788834008    2.4517574255
   0.0000000000    1.9145958165
   0.0000000000    1.9155589555
  -0.1618354158    2.4356861798
  -0.1788721411    2.4517700065
   0.0000000000    1.9146112291
   0.0000000000    1.9155765296
  -0.3260266873    2.6289260469
  -0.2137895797    2.4867552768
  -0.1642507544    2.4407616231
   0.0000000000    1.9153626406
   0.0000000000    1.9160163925
  -0.2383872621    2.5160032730
   0.0000000000    1.9185099048
  -0.1967440161    2.4686916718
  -0.1595758138    2.4367427684
  -0.2625638620    2.5449359583
  -0.2440374898    2.5218742208
  -0.1654469198    2.4420731211
   0.0000000000    1.9173220376
   0.0000000000    1.9171570453
  -0.2313651780    2.5018451432
  -0.2299826912    2.5011679506
  -0.1569573575    2.4337147872
  -0.2147748665    2.4820131318
  -0.3149293085    2.6166763025
  -0.1679464150    2.4422787721
  -0.3218480227    2.6262894165
  -0.2122812864    2.4792205726
  -0.2043692013    2.4748205233
  -0.1952786731    2.4663027106
  -0.2136138065    2.4839559000
  -0.3590994591    2.6853982940
  -0.4417892490    2.8232496993
  -0.2523816743    2.5266364721
  -0.2495257070    2.5228382754
   0.0000000000    1.9145638750
   0.0000000000    1.9153815236
  -0.2495029815    2.5227735971
  -0.2525158325    2.5268434170
  -0.2323043092    2.5020045446
  -0.3580299390    2.6843057329
   0.0000000000    1.9193944439
   0.0000000000    1.9199483033
  -0.4966361880    2.9252350033
  -0.3944172211    2.7422214142
   0.0000000000    1.9197218535
   0.0000000000    1.9200993469
  -0.4189149185    2.7851779808
  -0.3944538983    2.7422874220
   0.0000000000    1.9197230964
   0.0000000000    1.9201002892
  -0.4189015659    2.7851552123
  -0.1948179982    2.4616308080
  -0.4843140976    2.8973122669
  -0.3793253522    2.7190814863
   0.0000000000    1.9199797226
   0.0000000000    1.9194841016
  -0.3794989151    2.7193658195
  -0.4838073434    2.8963535672
  -0.1947680831    2.4615574812
  -0.4666152594    2.8702318445
  -0.1589492858    2.4372353748
  -0.4661764719    2.8694390626
  -0.1586087309    2.4369874802
