# Angle [degrees]   occurrence (total=47)
0.000000                            0
5.135135                            0
10.270270                            0
15.405405                            0
20.540541                            0
25.675676                            0
30.810811                            0
35.945946                            0
41.081081                            0
46.216216                            0
51.351351                            0
56.486486                            0
61.621622                            0
66.756757                            0
71.891892                            0
77.027027                            0
82.162162                            0
87.297297                            4
92.432432                            2
97.567568                            6
102.702703                            2
107.837838                            4
112.972973                            7
118.108108                            1
123.243243                            5
128.378378                            1
133.513514                            0
138.648649                            0
143.783784                            0
148.918919                            1
154.054054                            0
159.189189                            3
164.324324                            0
169.459459                            1
174.594595                            1
179.729730                            0
184.864865                            9
190.000000                            0
