# distance [\AA]   occurrence (total=278)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                          114
1.014286                           10
1.066071                            7
1.117857                           11
1.169643                            3
1.221429                            4
1.273214                            1
1.325000                            3
1.376786                            8
1.428571                            5
1.480357                            2
1.532143                            0
1.583929                            1
1.635714                            3
1.687500                            2
1.739286                            0
1.791071                            0
1.842857                            1
1.894643                            0
1.946429                            1
1.998214                            0
2.050000                            0
2.101786                            1
2.153571                            0
2.205357                            0
2.257143                            0
2.308929                            0
2.360714                            0
2.412500                            0
2.464286                            0
2.516071                            0
2.567857                            0
2.619643                            1
2.671429                            0
2.723214                            0
2.775000                            0
2.826786                            0
2.878571                            0
2.930357                            2
2.982143                            4
3.033929                           19
3.085714                           18
3.137500                           24
3.189286                           13
3.241071                            3
3.292857                            4
3.344643                            7
3.396429                            4
3.448214                            1
3.500000                            1
