# Angle [degrees]   occurrence (total=162)
0.000000                            0
5.135135                            0
10.270270                            0
15.405405                            0
20.540541                            0
25.675676                            0
30.810811                            0
35.945946                            0
41.081081                            0
46.216216                            0
51.351351                            0
56.486486                            0
61.621622                            0
66.756757                            0
71.891892                            0
77.027027                            0
82.162162                           12
87.297297                           17
92.432432                           28
97.567568                           19
102.702703                           11
107.837838                            7
112.972973                            5
118.108108                            5
123.243243                            5
128.378378                            1
133.513514                            6
138.648649                            7
143.783784                            2
148.918919                            2
154.054054                            1
159.189189                            2
164.324324                            0
169.459459                            4
174.594595                            6
179.729730                           15
184.864865                            7
190.000000                            0
