# distance [\AA]   occurrence (total=899)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                          337
1.014286                           42
1.066071                           45
1.117857                            3
1.169643                            1
1.221429                            0
1.273214                            1
1.325000                            1
1.376786                            3
1.428571                           13
1.480357                           17
1.532143                           26
1.583929                            5
1.635714                            4
1.687500                            3
1.739286                            4
1.791071                            6
1.842857                            4
1.894643                            2
1.946429                            4
1.998214                            4
2.050000                            1
2.101786                            1
2.153571                            0
2.205357                            0
2.257143                            0
2.308929                            0
2.360714                            0
2.412500                            0
2.464286                            0
2.516071                            0
2.567857                            0
2.619643                            0
2.671429                            0
2.723214                            0
2.775000                            1
2.826786                            1
2.878571                            1
2.930357                            7
2.982143                            9
3.033929                           17
3.085714                           40
3.137500                           48
3.189286                           65
3.241071                           58
3.292857                           31
3.344643                           13
3.396429                           32
3.448214                           32
3.500000                           17
