# q1 [Angstrom]    q2 [Angstrom]
  -0.0540810330    2.3980988885
   0.0000000000    1.9345287585
  -0.1947644158    2.4756566781
  -0.1946149719    2.4754894603
   0.0000000000    1.9279262454
   0.0000000000    1.9286923786
  -0.2920118993    2.5951911694
  -0.2263285827    2.5064102776
  -0.2260410503    2.5060388142
  -0.1319406319    2.4275310043
  -0.1551531225    2.4453550389
   0.0000000000    1.9277441612
   0.0000000000    1.9284538098
  -0.2545643523    2.5462254997
   0.0000000000    1.9348793828
  -0.1832441205    2.4685670887
  -0.2007453898    2.4799783583
  -0.1997118831    2.4789768076
  -0.2007741871    2.4800083426
  -0.1997129184    2.4789806456
   0.0000000000    1.9275164926
   0.0000000000    1.9283194833
  -0.2272786412    2.5106208026
  -0.2310097918    2.5151173988
  -0.1938411628    2.4779457056
  -0.2855813323    2.5891925364
  -0.1044321165    2.4164555253
   0.0000000000    1.9319487224
   0.0000000000    1.9321733571
  -0.1052789869    2.4168546763
   0.0000000000    1.9321401342
   0.0000000000    1.9319218255
  -0.1294188278    2.4282596019
   0.0000000000    1.9285935396
   0.0000000000    1.9296892644
  -0.3009053077    2.6102246400
  -0.2888933934    2.5909656976
  -0.1302088107    2.4272957498
  -0.1284163489    2.4262642880
   0.0000000000    1.9310307161
   0.0000000000    1.9310325668
  -0.2793516554    2.5812161568
  -0.1647280394    2.4497879405
  -0.3775080262    2.7272177669
   0.0000000000    1.9324627849
   0.0000000000    1.9328211246
  -0.4382105397    2.8316970707
  -0.2477649863    2.5523770902
  -0.1614331329    2.4642412041
  -0.2586270928    2.5556176679
  -0.2310247854    2.5151519088
  -0.2271658684    2.5105050995
   0.0000000000    1.9271886165
   0.0000000000    1.9279876658
  -0.1437803292    2.4384233365
   0.0000000000    1.9303666800
   0.0000000000    1.9302541863
  -0.2186277618    2.5002916081
  -0.2172423546    2.4996377326
  -0.2279553780    2.5075870429
  -0.2270962474    2.5066429789
  -0.1441082878    2.4356134969
  -0.3688672320    2.7089998050
  -0.1148577301    2.4174197197
  -0.0270270570    2.3896505511
   0.0000000000    1.9344714211
   0.0000000000    1.9343398961
  -0.1328024565    2.4259457970
  -0.4340016471    2.8189710054
  -0.4187077171    2.7981554387
   0.0000000000    1.9325638254
   0.0000000000    1.9319550309
  -0.4177537776    2.7965125382
  -0.4350713312    2.8208574316
  -0.1340514936    2.4267084940
  -0.1368985448    2.4322319620
  -0.2042391122    2.4831912057
  -0.2888901286    2.5920544417
  -0.1126242374    2.4192434229
  -0.1197111861    2.4208223869
  -0.3139502511    2.6277146783
  -0.1205027875    2.4213480741
  -0.1121446717    2.4189938214
  -0.3150072625    2.6294100225
   0.0000000000    1.9373307141
  -0.2171385294    2.5151515606
   0.0000000000    1.9418154125
  -0.1544068493    2.4444265211
  -0.2964622784    2.6023053039
  -0.1993828921    2.4784807633
  -0.4741882634    2.8957645007
  -0.1508781913    2.4415762736
  -0.4743436361    2.8960633125
  -0.1510259009    2.4416718348
  -0.1898914693    2.4711024595
  -0.2157016926    2.4967409877
  -0.1674563441    2.4519871210
   0.0000000000    1.9282507777
   0.0000000000    1.9289340850
  -0.4799510837    2.9020564708
   0.0000000000    1.9382328509
  -0.3777442909    2.7275868518
   0.0000000000    1.9324654113
   0.0000000000    1.9328249317
  -0.4378531530    2.8310660618
  -0.0794011845    2.4075380140
   0.0000000000    1.9354837591
  -0.0793466393    2.4076587516
  -0.1506055627    2.4391404726
  -0.1722399294    2.4574985417
   0.0000000000    1.9268933336
   0.0000000000    1.9279574121
  -0.3133470325    2.6239572427
  -0.2268607513    2.5114266166
  -0.1506240301    2.4416117423
  -0.2368929493    2.5263734099
  -0.2600122608    2.5524543929
  -0.3832519946    2.7083467447
  -0.4393247767    2.8359322732
  -0.0086493187    2.3920137484
   0.0000000000    1.9304723926
  -0.2120962385    2.4927109497
  -0.3182827813    2.6359285329
   0.0000000000    1.9319775039
   0.0000000000    1.9325948676
  -0.1496821191    2.4408845297
  -0.1502921123    2.4389819216
  -0.3131915213    2.6237377369
  -0.2265944201    2.5111447576
  -0.1724579913    2.4576641579
   0.0000000000    1.9268520033
   0.0000000000    1.9279114629
  -0.1859391712    2.4699053575
  -0.1692515825    2.4561593995
  -0.1732193271    2.4581327628
  -0.1731618866    2.4580860420
  -0.2283606182    2.5135917428
   0.0000000000    1.9329151613
  -0.2282971224    2.5135225825
   0.0000000000    1.9329144818
