# distance [Angstrom]   occurrence (total=708)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                          148
1.014286                          143
1.066071                           24
1.117857                           21
1.169643                            9
1.221429                            6
1.273214                            2
1.325000                            8
1.376786                           16
1.428571                           10
1.480357                           15
1.532143                            1
1.583929                            3
1.635714                            6
1.687500                            4
1.739286                            0
1.791071                            2
1.842857                            1
1.894643                            1
1.946429                            2
1.998214                            0
2.050000                            2
2.101786                            0
2.153571                            3
2.205357                            0
2.257143                            1
2.308929                            0
2.360714                            0
2.412500                            0
2.464286                            1
2.516071                            0
2.567857                            0
2.619643                            0
2.671429                            1
2.723214                            0
2.775000                            1
2.826786                            6
2.878571                            2
2.930357                            7
2.982143                           10
3.033929                           20
3.085714                           51
3.137500                           50
3.189286                           38
3.241071                           36
3.292857                           11
3.344643                           18
3.396429                           13
3.448214                            6
3.500000                            9
