# distance [\AA]   occurrence (total=800)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                          147
1.014286                          178
1.066071                           23
1.117857                           24
1.169643                            9
1.221429                            6
1.273214                            2
1.325000                           10
1.376786                           14
1.428571                           13
1.480357                           14
1.532143                            3
1.583929                            0
1.635714                            8
1.687500                            4
1.739286                            0
1.791071                            3
1.842857                            6
1.894643                            2
1.946429                            2
1.998214                            2
2.050000                            1
2.101786                            2
2.153571                            1
2.205357                            0
2.257143                            0
2.308929                            1
2.360714                            0
2.412500                            0
2.464286                            0
2.516071                            2
2.567857                            0
2.619643                            0
2.671429                            0
2.723214                            1
2.775000                            1
2.826786                            0
2.878571                            7
2.930357                            6
2.982143                            9
3.033929                           16
3.085714                           59
3.137500                           61
3.189286                           38
3.241071                           38
3.292857                           12
3.344643                           24
3.396429                           19
3.448214                           10
3.500000                           22
