# distance [Angstrom]   occurrence (total=46)
0.500000                            0
0.558333                            0
0.616667                            0
0.675000                            0
0.733333                            0
0.791667                            0
0.850000                            0
0.908333                            0
0.966667                            0
1.025000                            0
1.083333                            0
1.141667                            0
1.200000                           46
