# distance [Angstrom]   occurrence (total=580)
0.500000                            0
0.510040                            0
0.520080                            0
0.530120                            0
0.540161                            0
0.550201                            0
0.560241                            0
0.570281                            0
0.580321                            0
0.590361                            0
0.600402                            0
0.610442                            0
0.620482                            0
0.630522                            0
0.640562                            0
0.650602                            0
0.660643                            0
0.670683                            0
0.680723                            0
0.690763                            0
0.700803                            0
0.710843                            0
0.720884                            0
0.730924                            0
0.740964                            0
0.751004                            0
0.761044                            0
0.771084                            0
0.781124                            0
0.791165                            0
0.801205                            0
0.811245                            0
0.821285                            0
0.831325                            0
0.841365                            0
0.851406                            0
0.861446                            0
0.871486                            0
0.881526                            0
0.891566                            0
0.901606                            0
0.911647                            0
0.921687                            0
0.931727                            0
0.941767                            0
0.951807                            0
0.961847                          110
0.971888                          207
0.981928                           12
0.991968                            2
1.002008                            6
1.012048                            5
1.022088                            3
1.032129                           15
1.042169                            9
1.052209                            4
1.062249                            6
1.072289                            9
1.082329                            8
1.092369                            3
1.102410                            4
1.112450                            0
1.122490                            2
1.132530                            0
1.142570                            1
1.152610                            0
1.162651                            0
1.172691                            1
1.182731                            0
1.192771                            1
1.202811                            1
1.212851                            0
1.222892                            1
1.232932                            0
1.242972                            0
1.253012                            1
1.263052                            0
1.273092                            0
1.283133                            2
1.293173                            0
1.303213                            0
1.313253                            2
1.323293                            3
1.333333                            2
1.343373                            3
1.353414                            4
1.363454                            2
1.373494                            5
1.383534                            2
1.393574                            3
1.403614                            4
1.413655                            0
1.423695                            2
1.433735                            4
1.443775                            5
1.453815                            1
1.463855                            2
1.473896                            3
1.483936                            6
1.493976                            3
1.504016                            1
1.514056                            0
1.524096                            1
1.534137                            1
1.544177                            2
1.554217                            0
1.564257                            0
1.574297                            1
1.584337                            3
1.594378                            1
1.604418                            1
1.614458                            1
1.624498                            0
1.634538                            3
1.644578                            1
1.654618                            0
1.664659                            0
1.674699                            0
1.684739                            0
1.694779                            0
1.704819                            0
1.714859                            0
1.724900                            1
1.734940                            0
1.744980                            1
1.755020                            0
1.765060                            0
1.775100                            0
1.785141                            0
1.795181                            0
1.805221                            0
1.815261                            0
1.825301                            2
1.835341                            0
1.845382                            1
1.855422                            2
1.865462                            1
1.875502                            0
1.885542                            0
1.895582                            0
1.905622                            0
1.915663                            0
1.925703                            2
1.935743                            1
1.945783                            0
1.955823                            0
1.965863                            0
1.975904                            0
1.985944                            0
1.995984                            0
2.006024                            0
2.016064                            0
2.026104                            0
2.036145                            0
2.046185                            0
2.056225                            0
2.066265                            0
2.076305                            0
2.086345                            0
2.096386                            2
2.106426                            1
2.116466                            0
2.126506                            0
2.136546                            0
2.146586                            1
2.156627                            0
2.166667                            1
2.176707                            0
2.186747                            0
2.196787                            1
2.206827                            0
2.216867                            0
2.226908                            0
2.236948                            0
2.246988                            0
2.257028                            0
2.267068                            0
2.277108                            2
2.287149                            0
2.297189                            0
2.307229                            0
2.317269                            1
2.327309                            1
2.337349                            0
2.347390                            0
2.357430                            0
2.367470                            0
2.377510                            0
2.387550                            0
2.397590                            0
2.407631                            0
2.417671                            0
2.427711                            0
2.437751                            0
2.447791                            0
2.457831                            0
2.467871                            0
2.477912                            0
2.487952                            1
2.497992                            1
2.508032                            0
2.518072                            0
2.528112                            1
2.538153                            0
2.548193                            0
2.558233                            0
2.568273                            1
2.578313                            0
2.588353                            0
2.598394                            1
2.608434                            0
2.618474                            0
2.628514                            0
2.638554                            0
2.648594                            0
2.658635                            0
2.668675                            0
2.678715                            0
2.688755                            0
2.698795                            0
2.708835                            0
2.718876                            0
2.728916                            0
2.738956                            0
2.748996                            0
2.759036                            0
2.769076                            0
2.779116                            0
2.789157                            2
2.799197                            0
2.809237                            0
2.819277                            0
2.829317                            5
2.839357                            1
2.849398                            1
2.859438                            3
2.869478                            0
2.879518                            1
2.889558                            1
2.899598                            1
2.909639                            0
2.919679                            0
2.929719                            1
2.939759                            3
2.949799                            4
2.959839                            5
2.969880                           13
2.979920                           12
2.989960                            7
3.000000                            9
