# distance [Angstrom]   occurrence (total=133)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                           50
1.014286                           10
1.066071                            7
1.117857                            1
1.169643                            0
1.221429                            0
1.273214                            0
1.325000                            0
1.376786                            2
1.428571                            3
1.480357                            1
1.532143                            2
1.583929                            2
1.635714                            0
1.687500                            0
1.739286                            0
1.791071                            0
1.842857                            1
1.894643                            1
1.946429                            0
1.998214                            0
2.050000                            0
2.101786                            0
2.153571                            0
2.205357                            0
2.257143                            0
2.308929                            1
2.360714                            0
2.412500                            0
2.464286                            0
2.516071                            0
2.567857                            1
2.619643                            0
2.671429                            0
2.723214                            0
2.775000                            0
2.826786                            0
2.878571                            1
2.930357                            1
2.982143                            0
3.033929                            4
3.085714                            2
3.137500                           13
3.189286                           11
3.241071                            1
3.292857                            4
3.344643                            0
3.396429                            6
3.448214                            4
3.500000                            4
