# distance [Angstrom]   occurrence (total=2)
0.600000                            0
0.652174                            0
0.704348                            0
0.756522                            0
0.808696                            0
0.860870                            0
0.913043                            0
0.965217                            0
1.017391                            0
1.069565                            0
1.121739                            0
1.173913                            0
1.226087                            0
1.278261                            0
1.330435                            0
1.382609                            0
1.434783                            0
1.486957                            0
1.539130                            0
1.591304                            0
1.643478                            0
1.695652                            0
1.747826                            0
1.800000                            0
1.852174                            0
1.904348                            0
1.956522                            0
2.008696                            0
2.060870                            0
2.113043                            0
2.165217                            0
2.217391                            0
2.269565                            0
2.321739                            0
2.373913                            0
2.426087                            0
2.478261                            0
2.530435                            1
2.582609                            1
2.634783                            0
2.686957                            0
2.739130                            0
2.791304                            0
2.843478                            0
2.895652                            0
2.947826                            0
3.000000                            0
