#R[A]	Tot occ	w3s2	w3s1
0.6	0	0	0
0.65	0	0	0
0.7	0	0	0
0.76	0	0	0
0.81	0	0	0
0.86	0	0	0
0.91	0	0	0
0.96	0	0	0
1.01	0	0	0
1.07	0	0	0
1.12	0	0	0
1.17	0	0	0
1.22	0	0	0
1.27	0	0	0
1.32	0	0	0
1.38	0	0	0
1.43	0	0	0
1.48	0	0	0
1.53	0	0	0
1.58	0	0	0
1.64	0	0	0
1.69	0	0	0
1.74	0	0	0
1.79	0	0	0
1.84	0	0	0
1.89	0	0	0
1.95	0	0	0
2.0	1	0	1
2.05	0	0	0
2.1	2	2	0
2.15	0	0	0
2.21	0	0	0
2.26	0	0	0
2.31	0	0	0
2.36	0	0	0
2.41	1	1	0
2.46	0	0	0
2.52	0	0	0
2.57	0	0	0
2.62	0	0	0
2.67	0	0	0
2.72	0	0	0
2.78	0	0	0
2.83	0	0	0
2.88	0	0	0
2.93	0	0	0
2.98	0	0	0
3.03	0	0	0
3.09	0	0	0
3.14	0	0	0
3.19	0	0	0
3.24	0	0	0
3.29	0	0	0
3.34	0	0	0
3.4	0	0	0
3.45	0	0	0
3.5	0	0	0
