#R[A]	Tot occ	w3s2	w3s1
0.6	0	0	0
0.652	0	0	0
0.704	0	0	0
0.755	0	0	0
0.807	0	0	0
0.859	0	0	0
0.911	8	6	2
0.962	0	0	0
1.014	2	0	2
1.066	0	0	0
1.118	0	0	0
1.17	0	0	0
1.221	0	0	0
1.273	0	0	0
1.325	0	0	0
1.377	1	0	1
1.429	0	0	0
1.48	1	0	1
1.532	0	0	0
1.584	0	0	0
1.636	0	0	0
1.688	0	0	0
1.739	0	0	0
1.791	0	0	0
1.843	0	0	0
1.895	0	0	0
1.946	0	0	0
1.998	0	0	0
2.05	0	0	0
2.102	0	0	0
2.154	0	0	0
2.205	0	0	0
2.257	0	0	0
2.309	0	0	0
2.361	0	0	0
2.412	0	0	0
2.464	0	0	0
2.516	0	0	0
2.568	0	0	0
2.62	0	0	0
2.671	0	0	0
2.723	0	0	0
2.775	0	0	0
2.827	0	0	0
2.879	1	1	0
2.93	0	0	0
2.982	0	0	0
3.034	0	0	0
3.086	0	0	0
3.137	4	0	4
3.189	0	0	0
3.241	0	0	0
3.293	0	0	0
3.345	0	0	0
3.396	0	0	0
3.448	0	0	0
3.5	0	0	0
