# distance [\AA]   occurrence (total=909)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                          221
1.014286                           67
1.066071                            0
1.117857                            0
1.169643                            0
1.221429                            0
1.273214                            0
1.325000                            0
1.376786                            0
1.428571                            0
1.480357                            0
1.532143                            0
1.583929                            0
1.635714                            0
1.687500                            2
1.739286                           12
1.791071                           40
1.842857                           13
1.894643                           14
1.946429                           27
1.998214                           26
2.050000                           15
2.101786                           10
2.153571                            6
2.205357                            2
2.257143                            3
2.308929                            0
2.360714                            1
2.412500                            0
2.464286                            1
2.516071                            1
2.567857                            1
2.619643                            0
2.671429                            1
2.723214                            1
2.775000                            4
2.826786                            2
2.878571                           19
2.930357                           16
2.982143                           19
3.033929                           10
3.085714                           16
3.137500                           30
3.189286                           47
3.241071                           54
3.292857                           37
3.344643                           36
3.396429                           56
3.448214                           50
3.500000                           49
