# q1 [Angstrom]    q2 [Angstrom]
  -0.1543532448    2.2446471644
  -0.4803177929    2.8932867007
  -0.4584801337    2.8629750003
  -0.4744793080    2.8923742665
  -0.4871261377    2.9143163360
  -0.4341675351    2.8171695250
  -0.4852623363    2.9106234641
  -0.4963916730    2.9355605115
   0.0000000000    1.9346878607
  -0.5161834538    2.9636841134
  -0.4304755312    2.8120733304
  -0.5005986418    2.9432801646
  -0.4593439738    2.8656811108
  -0.4699401554    2.8889606451
  -0.3526362485    2.6835150680
  -0.4028447510    2.7627152719
   0.0000000000    1.9361606780
   0.0000000000    1.9303902862
  -0.4531763742    2.8532315473
  -0.4851931955    2.9024349021
  -0.4195909408    2.7875631747
  -0.3946393406    2.7454077867
   0.0000000000    1.9186710670
  -0.3842657889    2.7279138132
  -0.3765266785    2.7147174214
   0.0000000000    1.9183681898
  -0.3698691862    2.7065868243
  -0.4528099252    2.8507898842
  -0.4662843072    2.8779358650
  -0.3165091773    2.6215696618
  -0.4755657587    2.8894613536
  -0.4730037350    2.8840304926
  -0.4401817796    2.8267816106
  -0.4636321062    2.8730696122
  -0.4810076412    2.9063602762
  -0.4560644619    2.8570706449
  -0.4193310558    2.7928600688
  -0.4957939049    2.9332304315
  -0.4477707718    2.8453157139
  -0.3325626050    2.6555134872
  -0.4595670443    2.8609719399
  -0.4629036091    2.8749292868
  -0.4828298549    2.9056944920
   0.0000000000    1.9188718058
  -0.4722239119    2.8845667217
  -0.4837103705    2.9067867321
  -0.3865316753    2.7319439373
  -0.3861931840    2.7317097199
  -0.3778977827    2.7190424549
  -0.4629120702    2.8671278246
  -0.5007895252    2.9416572928
  -0.3789077934    2.7217210690
  -0.4807476649    2.8995723161
  -0.3858563957    2.7322684441
  -0.3755760164    2.7140756143
   0.0000000000    1.9338875584
  -0.5061526940    2.9493384231
   0.0000000000    1.9204485805
  -0.3728099475    2.7081591273
  -0.3793797044    2.7197159290
  -0.3622087628    2.6954515201
  -0.4881354628    2.9151977632
  -0.4643032262    2.8704549484
  -0.3653898289    2.6981911871
  -0.3572223018    2.6873032866
  -0.4634176493    2.8676189078
  -0.4740354737    2.8889466030
  -0.3770755154    2.7158138298
  -0.3760512267    2.7150097978
  -0.3862697067    2.7312370161
  -0.4752389967    2.8897319630
   0.0000000000    1.9204526748
  -0.3698694109    2.7044310589
  -0.3683357103    2.7037692226
  -0.3626661183    2.6959513461
  -0.4444542112    2.8353813818
  -0.4497317273    2.8424102515
  -0.4742213702    2.8821917179
   0.0000000000    1.9211011593
   0.0000000000    1.9212617751
  -0.4843088144    2.9039917915
  -0.4646922717    2.8555083065
  -0.4029032502    2.7598049473
  -0.5031847486    2.9451024539
   0.0000000000    1.9188318224
  -0.3661532858    2.7026273632
  -0.3953181909    2.7462390294
  -0.3879776113    2.7352063728
   0.0000000000    1.9368201833
   0.0000000000    1.9326358548
  -0.4793382083    2.9012299136
  -0.3654490689    2.7053339235
  -0.5110602806    2.9573208728
  -0.4858357777    2.9088089514
  -0.4485825712    2.8431951106
  -0.4846451498    2.9107235942
  -0.5077931491    2.9539955409
  -0.4069861331    2.7696944236
  -0.4772081715    2.8964233854
  -0.4129400133    2.7797133114
   0.0000000000    1.9186477967
  -0.4074077995    2.7685450574
  -0.4698532020    2.8815972824
  -0.4068169043    2.7673064964
  -0.4741494287    2.8918734805
  -0.5056770444    2.9496148916
  -0.4955106708    2.9313348041
  -0.4473033863    2.8399391403
  -0.4599529312    2.8639110910
  -0.4097788195    2.7748262602
  -0.4641202450    2.8644242036
  -0.3899059332    2.7449291853
  -0.3865999454    2.7306344671
  -0.3879543977    2.7334910487
  -0.3842567286    2.7274044514
   0.0000000000    1.9191429698
  -0.3854092410    2.7285350277
  -0.3877341898    2.7331081323
  -0.3867291109    2.7319340025
  -0.3828954033    2.7243408418
   0.0000000000    1.9188195776
  -0.3828954635    2.7243415567
  -0.3828473659    2.7242779589
  -0.3828876348    2.7243651569
  -0.3829059370    2.7243639968
  -0.3828947902    2.7243747672
  -0.3770043788    2.7172235770
  -0.3763052438    2.7180081590
  -0.4274536114    2.8027938277
  -0.3810078080    2.7273760032
   0.0000000000    1.9325212270
  -0.4397379135    2.8254834635
  -0.4196969395    2.7886092743
  -0.5004674088    2.9402236427
  -0.4901382814    2.9206586627
   0.0000000000    1.9206028013
  -0.3739802580    2.7131731121
  -0.4803544457    2.8977828403
  -0.4930548725    2.9231605483
  -0.3814248510    2.7265378118
  -0.3907711989    2.7375850071
  -0.3863117635    2.7296353842
  -0.3842984613    2.7272142388
  -0.3869549232    2.7320700647
   0.0000000000    1.9189248284
  -0.3847621585    2.7282840769
  -0.3858214032    2.7295274220
  -0.4374359966    2.8235391574
  -0.4904489274    2.9175006151
  -0.4228624455    2.7997515678
   0.0000000000    1.9349088060
  -0.4240772074    2.7990604773
  -0.4227483960    2.7962075198
  -0.5151057102    2.9650072502
  -0.3575945437    2.6882961954
  -0.4291238026    2.8066328682
  -0.3524764074    2.6813589639
  -0.4424608205    2.8291085421
  -0.4876718302    2.9170993253
  -0.4587725205    2.8601628899
  -0.4758599438    2.8942670251
  -0.4788816497    2.8993835363
  -0.4729939161    2.8876323363
  -0.4298092558    2.8173062675
