# distance [Angstrom]   occurrence (total=114)
0.800000                            0
0.850000                           30
0.900000                            0
0.950000                            0
1.000000                            0
1.050000                            0
1.100000                            0
1.150000                            0
1.200000                            0
1.250000                            0
1.300000                            0
1.350000                            0
1.400000                            0
1.450000                            0
1.500000                            0
1.550000                            0
1.600000                            0
1.650000                            0
1.700000                            0
1.750000                            0
1.800000                            0
1.850000                            0
1.900000                           11
1.950000                           10
2.000000                            0
2.050000                            0
2.100000                            0
2.150000                            0
2.200000                            0
2.250000                            0
2.300000                            0
2.350000                            0
2.400000                            0
2.450000                            0
2.500000                            0
2.550000                            0
2.600000                            0
2.650000                            0
2.700000                            0
2.750000                            0
2.800000                            0
2.850000                            0
2.900000                            0
2.950000                            0
3.000000                            0
3.050000                            0
3.100000                            0
3.150000                           63
3.200000                            0
3.250000                            0
3.300000                            0
3.350000                            0
3.400000                            0
3.450000                            0
