# distance [Angstrom]   occurrence (total=1306)
1.500000                            0
1.600000                            0
1.700000                            0
1.800000                            0
1.900000                            0
2.000000                            0
2.100000                            0
2.200000                            0
2.300000                            0
2.400000                            0
2.500000                            0
2.600000                            8
2.700000                          205
2.800000                          233
2.900000                          141
3.000000                           21
3.100000                            2
3.200000                            1
3.300000                            0
3.400000                            3
3.500000                           14
3.600000                            4
3.700000                           11
3.800000                           21
3.900000                           74
4.000000                           28
4.100000                           26
4.200000                           23
4.300000                           29
4.400000                           61
4.500000                           39
4.600000                           43
4.700000                           37
4.800000                           39
4.900000                           31
5.000000                           22
5.100000                           24
5.200000                           18
5.300000                           16
5.400000                           23
5.500000                           15
5.600000                           10
5.700000                            8
5.800000                            5
5.900000                            6
6.000000                            7
6.100000                            6
6.200000                            9
6.300000                            7
6.400000                            2
6.500000                            9
6.600000                            3
6.700000                            4
6.800000                            9
6.900000                            9
