# distance [Angstrom]   occurrence (total=536)
1.000000                            0
1.010033                            0
1.020067                            0
1.030100                            0
1.040134                            0
1.050167                            0
1.060201                            0
1.070234                            0
1.080268                            0
1.090301                            0
1.100334                            0
1.110368                            0
1.120401                            0
1.130435                            0
1.140468                            0
1.150502                            0
1.160535                            0
1.170569                            0
1.180602                            0
1.190635                            0
1.200669                            0
1.210702                            0
1.220736                            0
1.230769                            0
1.240803                            0
1.250836                            0
1.260870                            0
1.270903                            0
1.280936                            0
1.290970                            0
1.301003                            0
1.311037                            0
1.321070                            0
1.331104                            0
1.341137                            0
1.351171                            0
1.361204                            0
1.371237                            0
1.381271                            0
1.391304                            0
1.401338                            0
1.411371                            0
1.421405                            0
1.431438                            0
1.441472                            0
1.451505                            0
1.461538                            0
1.471572                            0
1.481605                            0
1.491639                            0
1.501672                            0
1.511706                            0
1.521739                            0
1.531773                            0
1.541806                            0
1.551839                            0
1.561873                            0
1.571906                            0
1.581940                            0
1.591973                            0
1.602007                            0
1.612040                            0
1.622074                            0
1.632107                            0
1.642140                            0
1.652174                            0
1.662207                            0
1.672241                            0
1.682274                            0
1.692308                            0
1.702341                            0
1.712375                            0
1.722408                            0
1.732441                            0
1.742475                            0
1.752508                            0
1.762542                            0
1.772575                            0
1.782609                            0
1.792642                            0
1.802676                            0
1.812709                            0
1.822742                            0
1.832776                            0
1.842809                            0
1.852843                            0
1.862876                            0
1.872910                            0
1.882943                            0
1.892977                            0
1.903010                            0
1.913043                            0
1.923077                            0
1.933110                            0
1.943144                            0
1.953177                            0
1.963211                           18
1.973244                            3
1.983278                            3
1.993311                            0
2.003344                           12
2.013378                           15
2.023411                           21
2.033445                           21
2.043478                           48
2.053512                           40
2.063545                           32
2.073579                            0
2.083612                           27
2.093645                            0
2.103679                            0
2.113712                            0
2.123746                            0
2.133779                            6
2.143813                            0
2.153846                            0
2.163880                            0
2.173913                            0
2.183946                            0
2.193980                            0
2.204013                            0
2.214047                           15
2.224080                            0
2.234114                            0
2.244147                            0
2.254181                            0
2.264214                            0
2.274247                            0
2.284281                            0
2.294314                           15
2.304348                            0
2.314381                            0
2.324415                            0
2.334448                            0
2.344482                            0
2.354515                           10
2.364548                            0
2.374582                           19
2.384615                            0
2.394649                           10
2.404682                            0
2.414716                           40
2.424749                           90
2.434783                            1
2.444816                            0
2.454849                            0
2.464883                            0
2.474916                            9
2.484950                            6
2.494983                            0
2.505017                            0
2.515050                            3
2.525084                            0
2.535117                            0
2.545151                            2
2.555184                            6
2.565217                            0
2.575251                            0
2.585284                            0
2.595318                            1
2.605351                            0
2.615385                            0
2.625418                            6
2.635452                            0
2.645485                            0
2.655518                            0
2.665552                            0
2.675585                            0
2.685619                            0
2.695652                            0
2.705686                            0
2.715719                            0
2.725753                            0
2.735786                            0
2.745819                            0
2.755853                            0
2.765886                            0
2.775920                            0
2.785953                            0
2.795987                            0
2.806020                            0
2.816054                            0
2.826087                            0
2.836120                            0
2.846154                            0
2.856187                            0
2.866221                            0
2.876254                            0
2.886288                            0
2.896321                            0
2.906355                            0
2.916388                            0
2.926421                            0
2.936455                            0
2.946488                            0
2.956522                            0
2.966555                            0
2.976589                            0
2.986622                            0
2.996656                            0
3.006689                            0
3.016722                            0
3.026756                            0
3.036789                            0
3.046823                            0
3.056856                            0
3.066890                            0
3.076923                            0
3.086957                            0
3.096990                            0
3.107023                            0
3.117057                            0
3.127090                            0
3.137124                            0
3.147157                            0
3.157191                            0
3.167224                            0
3.177258                            0
3.187291                            0
3.197324                            0
3.207358                            0
3.217391                            0
3.227425                            0
3.237458                            0
3.247492                            0
3.257525                            0
3.267559                            0
3.277592                            0
3.287625                            0
3.297659                            0
3.307692                            0
3.317726                            0
3.327759                            0
3.337793                            0
3.347826                            0
3.357860                            0
3.367893                            0
3.377926                            0
3.387960                            0
3.397993                            0
3.408027                            0
3.418060                            0
3.428094                            0
3.438127                            0
3.448161                            0
3.458194                            0
3.468227                            0
3.478261                            0
3.488294                            0
3.498328                            0
3.508361                            0
3.518395                            0
3.528428                            0
3.538462                            0
3.548495                            0
3.558528                            0
3.568562                            0
3.578595                            0
3.588629                            0
3.598662                            0
3.608696                            0
3.618729                            0
3.628763                            0
3.638796                            0
3.648829                            1
3.658863                            0
3.668896                            0
3.678930                            0
3.688963                            0
3.698997                            0
3.709030                            0
3.719064                            0
3.729097                            0
3.739130                            0
3.749164                            0
3.759197                            0
3.769231                            0
3.779264                            0
3.789298                            0
3.799331                            0
3.809365                            0
3.819398                            1
3.829431                            8
3.839465                            8
3.849498                            6
3.859532                            1
3.869565                            0
3.879599                            1
3.889632                            1
3.899666                            1
3.909699                            0
3.919732                           12
3.929766                            2
3.939799                            3
3.949833                            4
3.959866                            6
3.969900                            0
3.979933                            1
3.989967                            0
4.000000                            1
