# distance [Angstrom]   occurrence (total=102)
1.500000                            0
1.510067                            0
1.520134                            0
1.530201                            0
1.540268                            0
1.550336                            0
1.560403                            0
1.570470                            0
1.580537                            0
1.590604                            0
1.600671                            0
1.610738                            0
1.620805                            0
1.630872                            0
1.640940                            0
1.651007                            0
1.661074                            0
1.671141                            0
1.681208                            0
1.691275                            0
1.701342                            0
1.711409                            0
1.721477                            0
1.731544                            0
1.741611                            0
1.751678                            0
1.761745                            0
1.771812                            0
1.781879                            0
1.791946                            0
1.802013                            0
1.812081                            0
1.822148                            0
1.832215                            0
1.842282                            0
1.852349                            0
1.862416                            0
1.872483                            0
1.882550                            0
1.892617                            0
1.902685                            0
1.912752                            0
1.922819                            0
1.932886                            0
1.942953                            0
1.953020                            1
1.963087                            2
1.973154                            3
1.983221                            4
1.993289                            3
2.003356                            4
2.013423                            3
2.023490                            1
2.033557                            3
2.043624                            5
2.053691                            7
2.063758                            6
2.073826                            0
2.083893                            5
2.093960                            1
2.104027                            1
2.114094                            1
2.124161                            0
2.134228                            3
2.144295                            0
2.154362                            0
2.164430                            1
2.174497                            1
2.184564                            0
2.194631                            0
2.204698                            0
2.214765                            1
2.224832                            1
2.234899                            1
2.244966                            0
2.255034                            0
2.265101                            0
2.275168                            1
2.285235                            0
2.295302                            1
2.305369                            1
2.315436                            2
2.325503                            1
2.335570                            1
2.345638                            2
2.355705                            1
2.365772                            2
2.375839                            3
2.385906                            0
2.395973                            2
2.406040                            3
2.416107                            4
2.426174                            9
2.436242                            1
2.446309                            0
2.456376                            0
2.466443                            0
2.476510                            2
2.486577                            1
2.496644                            0
2.506711                            0
2.516779                            2
2.526846                            0
2.536913                            0
2.546980                            2
2.557047                            1
2.567114                            0
2.577181                            0
2.587248                            0
2.597315                            1
2.607383                            0
2.617450                            0
2.627517                            1
2.637584                            0
2.647651                            0
2.657718                            0
2.667785                            0
2.677852                            0
2.687919                            0
2.697987                            0
2.708054                            0
2.718121                            0
2.728188                            0
2.738255                            0
2.748322                            0
2.758389                            0
2.768456                            0
2.778523                            0
2.788591                            0
2.798658                            0
2.808725                            0
2.818792                            0
2.828859                            0
2.838926                            0
2.848993                            0
2.859060                            0
2.869128                            0
2.879195                            0
2.889262                            0
2.899329                            0
2.909396                            0
2.919463                            0
2.929530                            0
2.939597                            0
2.949664                            0
2.959732                            0
2.969799                            0
2.979866                            0
2.989933                            0
3.000000                            0
