# distance [Angstrom]   occurrence (total=127)
0.000000                            0
5.000000                            0
10.000000                            0
15.000000                            0
20.000000                            0
25.000000                            0
30.000000                            0
35.000000                            0
40.000000                            0
45.000000                            0
50.000000                            0
55.000000                            0
60.000000                            0
65.000000                            0
70.000000                            2
75.000000                            2
80.000000                            0
85.000000                            0
90.000000                            0
95.000000                            0
100.000000                            0
105.000000                            0
110.000000                            0
115.000000                            0
120.000000                            0
125.000000                            0
130.000000                            0
135.000000                            0
140.000000                            0
145.000000                            0
150.000000                            0
155.000000                            0
160.000000                            2
165.000000                           11
170.000000                           22
175.000000                           21
180.000000                           67
185.000000                            0
190.000000                            0
195.000000                            0
200.000000                            0
205.000000                            0
210.000000                            0
215.000000                            0
220.000000                            0
225.000000                            0
230.000000                            0
235.000000                            0
240.000000                            0
245.000000                            0
250.000000                            0
255.000000                            0
260.000000                            0
265.000000                            0
270.000000                            0
275.000000                            0
280.000000                            0
285.000000                            0
290.000000                            0
295.000000                            0
300.000000                            0
305.000000                            0
310.000000                            0
315.000000                            0
320.000000                            0
325.000000                            0
330.000000                            0
335.000000                            0
340.000000                            0
345.000000                            0
350.000000                            0
355.000000                            0
